score, num
705,1
703,1
700,1
697,1
696,2
695,2
694,2
693,4
692,6
691,4
690,3
689,7
688,8
687,8
686,6
685,7
684,6
683,4
682,15
681,15
680,13
679,9
678,24
677,17
676,16
675,13
674,17
673,24
672,25
671,26
670,30
669,24
668,37
667,33
666,32
665,31
664,42
663,43
662,55
661,47
660,39
659,46
658,59
657,62
656,50
655,47
654,77
653,47
652,73
651,70
650,61
649,71
648,74
647,73
646,66
645,61
644,84
643,89
642,76
641,102
640,95
639,82
638,102
637,86
636,84
635,111
634,97
633,92
632,90
631,101
630,98
629,106
628,103
627,124
626,101
625,106
624,118
623,110
622,131
621,134
620,132
619,111
618,114
617,113
616,118
615,126
614,116
613,126
612,117
611,142
610,141
609,131
608,143
607,117
606,132
605,131
604,153
603,130
602,134
601,144
600,149
599,134
598,159
597,128
596,134
595,139
594,131
593,124
592,158
591,128
590,134
589,156
588,155
587,151
586,147
585,154
584,145
583,144
582,139
581,150
580,151
579,157
578,147
577,142
576,176
575,160
574,176
573,145
572,169
571,137
570,140
569,157
568,139
567,154
566,157
565,150
564,150
563,149
562,166
561,151
560,151
559,149
558,157
557,158
556,175
555,161
554,152
553,167
552,137
551,142
550,171
549,181
548,139
547,153
546,184
545,164
544,156
543,165
542,166
541,162
540,133
539,124
538,165
537,168
536,153
535,145
534,157
533,156
532,142
531,138
530,149
529,158
528,144
527,149
526,133
525,153
524,140
523,128
522,144
521,165
520,152
519,161
518,144
517,164
516,125
515,141
514,132
513,135
512,147
511,120
510,147
509,131
508,141
507,148
506,156
505,124
504,120
503,109
502,135
501,127
500,116
499,133
498,142
497,121
496,124
495,128
494,114
493,133
492,135
491,134
490,125
489,126
488,108
487,134
486,116
485,85
484,100
483,112
482,109
481,112
480,116
479,106
478,120
477,110
476,105
475,91
474,107
473,94
472,110
471,104
470,97
469,112
468,99
467,99
466,99
465,99
464,92
463,101
462,96
461,77
460,74
459,98
458,79
457,84
456,78
455,98
454,81
453,81
452,79
451,75
450,75
449,64
448,77
447,79
446,70
445,89
444,68
443,70
442,61
441,64
440,79
439,54
438,68
437,66
436,73
435,72
434,65
433,71
432,67
431,52
430,58
425,524
415,476
405,421
395,407
385,319
375,297
365,258
355,229
345,180
335,167
325,142
315,126
305,118
295,88
285,82
275,54
265,55
255,28
245,28
235,26
225,19
215,16
205,11
195,8
185,12
175,6
165,1
155,5
145,2
135,11
125,7
115,6
105,8
95,8
85,5
75,5
65,6
55,5
45,4
35,3
25,0
15,8
5,0
